Violation Street Number,Violation Street Direction,Violation Street Name,Violation Description,Violation Date,Violation Time,Issuing Agency,Month,Date,Year,Latitude,Longitude
66**,N,ASHLAND,10-8-180    Snow and ice removal.,10/2/2013,11:20 AM,Police,1/10/1900,2,2013,42.001971,-87.6709489
4**,W,CHICAGO,10-8-180    Snow and ice removal.,12/7/2013,7:45 AM,Transportation,1/12/1900,7,2013,41.8965521,-87.638682
7**,W,OAKDALE,10-8-180    Snow and ice removal.,12/10/2013,12:00 PM,Streets and Sanitation,1/12/1900,10,2013,41.9356193,-87.6472019
24**,S,BLUE ISLAND,10-8-180    Snow and ice removal.,12/16/2013,11:50 AM,Transportation,1/12/1900,16,2013,41.849006,-87.675368
23**,,CERMAK,10-8-180    Snow and ice removal.,12/16/2013,9:40 AM,Transportation,1/12/1900,16,2013,41.848504,-87.805564
3**,W,HURON,10-8-180    Snow and ice removal.,12/18/2013,9:00 AM,Transportation,1/12/1900,18,2013,41.895021,-87.635902
71**,S,YATES,10-8-180    Snow and ice removal.,12/27/2013,12:00 PM,Streets and Sanitation,1/12/1900,27,2013,41.7662004,-87.5665238
16**,W,CERMAK,10-8-180    Snow and ice removal.,1/2/2014,12:18 PM,Transportation,1/1/1900,2,2014,41.852589,-87.666375
84**,S,PULASKI,10-8-180    Snow and ice removal.,1/3/2014,8:29 AM,Transportation,1/1/1900,3,2014,41.7399681,-87.7215585
84**,S,PULASKI,10-8-180    Snow and ice removal.,1/3/2014,3:38 AM,Transportation,1/1/1900,3,2014,41.7399681,-87.7215585
83**,S,PULASKI,10-8-180    Snow and ice removal.,1/3/2014,8:14 AM,Transportation,1/1/1900,3,2014,41.7418123,-87.7221516
60**,W,DIVERSEY,10-8-180    Snow and ice removal.,1/3/2014,8:30 AM,Transportation,1/1/1900,3,2014,41.9311407,-87.7759692
56**,N,CENTRAL,10-8-180    Snow and ice removal.,1/7/2014,12:00 PM,Streets and Sanitation,1/1/1900,7,2014,41.9830767,-87.7686811
56**,N,CENTRAL,10-8-180    Snow and ice removal.,1/7/2014,12:00 PM,Streets and Sanitation,1/1/1900,7,2014,41.9830767,-87.7686811
56**,N,CENTRAL,10-8-180    Snow and ice removal.,1/7/2014,12:00 PM,Streets and Sanitation,1/1/1900,7,2014,41.9830767,-87.7686811
6**,N,KINGSBURY,10-8-180    Snow and ice removal.,1/7/2014,12:00 PM,Streets and Sanitation,1/1/1900,7,2014,41.8928983,-87.6415046
10**,N,RUSH,10-8-180    Snow and ice removal.,1/8/2014,12:00 PM,Streets and Sanitation,1/1/1900,8,2014,41.9009148,-87.6278791
10**,N,RUSH,10-8-180    Snow and ice removal.,1/8/2014,12:00 PM,Streets and Sanitation,1/1/1900,8,2014,41.9009148,-87.6278791
20**,N,ALBANY,10-8-180    Snow and ice removal.,1/8/2014,12:00 PM,Streets and Sanitation,1/1/1900,8,2014,41.9174046,-87.7052479
**,E,CEDAR,10-8-180    Snow and ice removal.,1/8/2014,12:00 PM,Streets and Sanitation,1/1/1900,8,2014,41.9023911,-87.6283033
**,E,CEDAR,10-8-180    Snow and ice removal.,1/8/2014,12:00 PM,Streets and Sanitation,1/1/1900,8,2014,41.9023911,-87.6283033
71**,N,WESTERN,10-8-180    Snow and ice removal.,1/8/2014,12:00 PM,Streets and Sanitation,1/1/1900,8,2014,42.0110186,-87.6904336
19**,N,PULASKI,10-8-180    Snow and ice removal.,1/8/2014,2:19 AM,Transportation,1/1/1900,8,2014,41.9154579,-87.7267215
86**,S,PULASKI,10-8-180    Snow and ice removal.,1/8/2014,7:43 AM,Transportation,1/1/1900,8,2014,41.736046,-87.7218708
