Violation Street Number,Violation Street Direction,Violation Street Name,Violation Description,Violation Date,Violation Time,Issuing Agency,Month,Date,Year,Latitude,Longitude
82**,S,ELLIS,10-8-180    Snow and ice removal.,1/2/2015,3:56 AM,Police,1/1/1900,2,2015,41.7456303,-87.6005456
56**,S,RACINE,10-8-180    Snow and ice removal.,1/5/2015,3:12 AM,Transportation,1/1/1900,5,2015,41.79222,-87.655181
56**,S,GREEN,10-8-180    Snow and ice removal.,1/7/2015,4:54 AM,Police,1/1/1900,7,2015,41.7923046,-87.646681
59**,W,IRVING PARK,10-8-180    Snow and ice removal.,1/9/2015,12:00 PM,Streets and Sanitation,1/1/1900,9,2015,41.953385,-87.774787
55**,N,WESTERN,10-8-180    Snow and ice removal.,1/9/2015,12:00 PM,Streets and Sanitation,1/1/1900,9,2015,41.9816355,-87.6897742
53**,W,IRVING PARK,10-8-180    Snow and ice removal.,1/9/2015,12:00 PM,Streets and Sanitation,1/1/1900,9,2015,41.953529,-87.759848
60**,W,ADDISON,10-8-180    Snow and ice removal.,1/9/2015,2:55 AM,Transportation,1/1/1900,9,2015,41.9459856,-87.7767859
35**,W,DEVON,10-8-180    Snow and ice removal.,1/9/2015,2:35 AM,Transportation,1/1/1900,9,2015,41.9974783,-87.7169382
30**,W,PETERSON,10-8-180    Snow and ice removal.,1/9/2015,2:45 AM,Transportation,1/1/1900,9,2015,41.9906557,-87.7045018
22**,N,KIMBALL,10-8-180    Snow and ice removal.,1/9/2015,2:25 AM,Transportation,1/1/1900,9,2015,41.9211273,-87.7122496
64**,S,ST LAWRENCE,10-8-180    Snow and ice removal.,1/9/2015,12:20 PM,Transportation,1/1/1900,9,2015,41.778364,-87.6110465
64**,S,ST LAWRENCE,10-8-180    Snow and ice removal.,1/9/2015,12:17 PM,Transportation,1/1/1900,9,2015,41.778364,-87.6110465
64**,S,ST LAWRENCE,10-8-180    Snow and ice removal.,1/9/2015,12:18 PM,Transportation,1/1/1900,9,2015,41.778364,-87.6110465
27**,N,LARAMIE,10-8-180    Snow and ice removal.,1/12/2015,12:00 PM,Streets and Sanitation,1/1/1900,12,2015,41.9297159,-87.7565047
30**,W,JACKSON,10-8-180    Snow and ice removal.,1/12/2015,9:29 AM,Transportation,1/1/1900,12,2015,41.8776497,-87.7012653
