,Type,Created Date and Time,X Coordinate,Y Coordinate,Year
5700 N FOREST GLEN AVE,Snow - Uncleared Sidewalk or Bike Lane,4/6/17 6:42 PM,1142677,1937492,2017
12900 S COMMERCIAL AVE,Snow - Uncleared Sidewalk or Bike Lane,3/31/17 9:42 AM,1198088,1820024,2017
0 W HUBBARD ST,Snow - Uncleared Sidewalk or Bike Lane,3/20/17 10:33 AM,1175668,1903301,2017
4700 S HALSTED ST,Snow - Uncleared Sidewalk or Bike Lane,3/19/17 6:03 PM,1171760,1873691,2017
2700 S ARCHER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/17/17 6:33 PM,1169692,1886540,2017
2700 S ARCHER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/17/17 6:33 PM,1169709,1886551,2017
900 W WOLFRAM ST,Snow - Uncleared Sidewalk or Bike Lane,3/17/17 10:45 AM,1169517,1919118,2017
10800 S KEDZIE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/17/17 7:18 AM,1156935,1832828,2017
1700 W WABANSIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 11:54 PM,1164633,1911371,2017
1300 W ANCONA ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 6:39 PM,1167561,1904655,2017
2500 W CHICAGO AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 5:19 PM,1159220,1905240,2017
6700 N OLIPHANT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 5:03 PM,1125109,1944370,2017
1300 W SCHUBERT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 3:48 PM,1167163,1918054,2017
6000 N LINCOLN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 3:43 PM,1154413,1939712,2017
4700 N MAGNOLIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 1:21 PM,1167032,1931695,2017
4700 N BEACON ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 1:12 PM,1166196,1931685,2017
7100 S SOUTH CHICAGO AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 12:30 PM,1182785,1858113,2017
1400 N DEARBORN ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 12:16 PM,1175663,1910110,2017
3100 N CLYBOURN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 11:34 AM,1160006,1921033,2017
1500 N DEARBORN PKWY,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 11:06 AM,1175651,1910503,2017
2700 W FRANCIS PL,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 10:58 AM,1158173,1913840,2017
3500 S LEAVITT ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 10:24 AM,1162265,1881289,2017
2200 W 35TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 10:18 AM,1161895,1881433,2017
1200 W 14TH PL,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 10:18 AM,1168568,1893215,2017
1400 S RACINE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 10:15 AM,1168610,1892976,2017
1700 S MICHIGAN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 10:12 AM,1177495,1891929,2017
5100 S RUTHERFORD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 10:06 AM,1132261,1870005,2017
1900 N CLARK ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:57 AM,1174329,1912965,2017
7300 S RICHMOND ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:52 AM,1157971,1856074,2017
4100 W CULLOM AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:40 AM,1148292,1928262,2017
4100 W CULLOM AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:39 AM,1148465,1928266,2017
4200 N KEYSTONE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:38 AM,1148529,1927925,2017
3000 W LOGAN BLVD,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:30 AM,1155477,1917130,2017
3000 W LOGAN BLVD,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:30 AM,1155497,1917131,2017
4100 W BELLE PLAINE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:28 AM,1148006,1926925,2017
2500 N MILWAUKEE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:27 AM,1155027,1916999,2017
3100 W LOGAN BLVD,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:27 AM,1155129,1917094,2017
3100 W LOGAN BLVD,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:24 AM,1155204,1917126,2017
1700 W WINNEMAC AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:18 AM,1163518,1933576,2017
1700 W 19TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 9:00 AM,1165340,1890793,2017
3200 N LAWNDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 8:48 AM,1151162,1921026,2017
3500 W BELMONT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 8:45 AM,1152435,1921056,2017
300 S STATE ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 8:37 AM,1176426,1898836,2017
1700 W WINNEMAC AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 8:30 AM,1163539,1933577,2017
400 W BRIAR PL,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 7:42 AM,1172738,1921031,2017
2100 W ERIE ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 7:29 AM,1162120,1904323,2017
2100 W ERIE ST,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 7:29 AM,1162133,1904324,2017
5900 N RIDGE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 7:26 AM,1164740,1939411,2017
2200 N WAYNE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 6:48 AM,1166950,1914926,2017
3900 W LAWRENCE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 4:48 AM,1149238,1931606,2017
5300 N MILWAUKEE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 4:47 AM,1137768,1934659,2017
1700 W WABANSIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 12:17 AM,1164569,1911369,2017
1700 W WABANSIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 12:16 AM,1164590,1911370,2017
1700 W WABANSIA AVE,Snow - Uncleared Sidewalk or Bike Lane,3/16/17 12:14 AM,1164633,1911371,2017
2200 W IOWA ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:30 PM,1161501,1905964,2017
1000 N WOOD ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:24 PM,1164199,1907237,2017
1500 W IRVING PARK RD,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:03 PM,1165302,1926643,2017
3900 N GREENVIEW AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 9:00 PM,1165374,1926141,2017
3300 W BELLE PLAINE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 8:39 PM,1153656,1927072,2017
3000 N SHEFFIELD AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:51 PM,1169091,1920100,2017
3000 N SOUTHPORT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:50 PM,1166451,1920021,2017
5600 N WINTHROP AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:02 PM,1167854,1937533,2017
5600 N WINTHROP AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:02 PM,1167852,1937587,2017
5600 N WINTHROP AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 7:02 PM,1167853,1937547,2017
4200 N LAWNDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 6:54 PM,1150962,1928003,2017
4200 N LAWNDALE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 6:54 PM,1150960,1928057,2017
5200 N NASHVILLE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 6:23 PM,1131584,1934550,2017
4800 N WASHTENAW AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 6:09 PM,1157490,1932239,2017
5900 N FOREST GLEN AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 5:42 PM,1144712,1939243,2017
5900 N KNOX AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 5:39 PM,1144180,1939317,2017
3300 W BELLE PLAINE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 5:21 PM,1153656,1927072,2017
2200 W BELMONT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 4:36 PM,1161019,1921217,2017
1800 W WEBSTER AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 4:30 PM,1163606,1914656,2017
800 N AVERS AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 4:29 PM,1150569,1905369,2017
1500 S WABASH AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 4:15 PM,1177022,1892593,2017
1200 N LA SALLE DR,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 4:09 PM,1174904,1908742,2017
1200 N LA SALLE DR,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 4:08 PM,1174905,1908728,2017
1200 N LA SALLE DR,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 4:08 PM,1174905,1908715,2017
4700 W WARWICK AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 4:06 PM,1144141,1924509,2017
1500 S WABASH AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 3:18 PM,1177022,1892593,2017
3500 N MILWAUKEE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 2:36 PM,1147800,1922815,2017
1400 W 87TH ST,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 2:33 PM,1168260,1847055,2017
1500 S WABASH AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 2:33 PM,1177022,1892593,2017
1500 S WABASH AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 2:03 PM,1177022,1892593,2017
1800 W BELMONT AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 2:00 PM,1163664,1921280,2017
1900 W LAWRENCE AVE,Snow - Uncleared Sidewalk or Bike Lane,3/15/17 2:00 PM,1162321,1931888,2017
