Violation Location,ADDRNO,STNAMEPRD,STNAME,LONGITUDE,LATITUDE,ADDRDELIV,pre_abbrev,lookup_address,confidence,geocoder,latitude,longitude,original_address,street_address,Unnamed: 0,Issue Date,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,two_inch,date
1379 N MILWAUKEE,1379,NORTH,MILWAUKEE,-87.6718108,41.9070737,1379 NORTH MILWAUKEE AVENUE,N,1379 N MILWAUKEE,,,,,,,3971,1/1/2011 6:37:00 AM,X533425,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,JEEP,60,True,2011-01-01 06:37:00
816 S STATE,,,,,,,,,0.763,dstk,41.870472,-87.627497,816 S STATE,816 S State St,14571,1/2/2011 3:04:00 AM,K400115,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,FORD,60,True,2011-01-02 03:04:00
1024 S STATE,,,,,,,,,0.763,dstk,41.869754,-87.627483,1024 S STATE,1024 S State St,14572,1/2/2011 3:15:00 AM,229XJI,IA,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,MAZD,60,True,2011-01-02 03:15:00
1024 S STATE,,,,,,,,,0.763,dstk,41.869754,-87.627483,1024 S STATE,1024 S State St,2171656,12/16/2011 3:03:00 AM,2307730,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,NISS,60,True,2011-12-16 03:03:00
1216 S STATE,,,,,,,,,0.763,dstk,41.867333,-87.627493,1216 S STATE,1216 S State St,14573,1/2/2011 3:25:00 AM,K857119,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,BMW,60,True,2011-01-02 03:25:00
1216 S STATE,,,,,,,,,0.763,dstk,41.867333,-87.627493,1216 S STATE,1216 S State St,2174664,12/18/2011 3:32:00 AM,L304598,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,CHEV,60,True,2011-12-18 03:32:00
1402 S STATE,1402,SOUTH,STATE,-87.6276652,41.8638389,1402 SOUTH STATE STREET,S,1402 S STATE,,,,,,,14574,1/2/2011 3:25:00 AM,H842833,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,HUMM,60,True,2011-01-02 03:25:00
1411 S STATE,1411,SOUTH,STATE,-87.6269072,41.8636318,1411 SOUTH STATE STREET,S,1411 S STATE,,,,,,,14575,1/2/2011 4:15:00 AM,F552236,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,PONT,60,True,2011-01-02 04:15:00
1411 S STATE,1411,SOUTH,STATE,-87.6269072,41.8636318,1411 SOUTH STATE STREET,S,1411 S STATE,,,,,,,88958,1/11/2011 2:32:00 PM,A653015,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,ACUR,60,True,2011-01-11 14:32:00
1255 S STATE,1255,SOUTH,STATE,-87.6269591,41.8659327,1255 SOUTH STATE STREET,S,1255 S STATE,,,,,,,14576,1/2/2011 4:35:00 AM,1392454,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,HOND,60,True,2011-01-02 04:35:00
1255 S STATE,1255,SOUTH,STATE,-87.6269591,41.8659327,1255 SOUTH STATE STREET,S,1255 S STATE,,,,,,,84207,1/11/2011 4:25:00 PM,G365838,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,DODG,60,True,2011-01-11 16:25:00
1255 S STATE,1255,SOUTH,STATE,-87.6269591,41.8659327,1255 SOUTH STATE STREET,S,1255 S STATE,,,,,,,409477,3/10/2011 3:50:00 AM,93620PV,IL,DOM,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,MERZ,60,True,2011-03-10 03:50:00
1255 S STATE,1255,SOUTH,STATE,-87.6269591,41.8659327,1255 SOUTH STATE STREET,S,1255 S STATE,,,,,,,2404670,1/21/2011 3:30:00 AM,K664190,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,HYUN,60,True,2011-01-21 03:30:00
812 S STATE,,,,,,,,,0.763,dstk,41.870484,-87.627497,812 S STATE,812 S State St,15267,1/2/2011 3:04:00 AM,BZD2057,MI,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,NISS,60,True,2011-01-02 03:04:00
812 S STATE,,,,,,,,,0.763,dstk,41.870484,-87.627497,812 S STATE,812 S State St,56474,1/8/2011 3:12:00 AM,K134224,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,TOYT,60,True,2011-01-08 03:12:00
846 S STATE,,,,,,,,,0.763,dstk,41.870382,-87.627495,846 S STATE,846 S State St,15268,1/2/2011 3:12:00 AM,A980274,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,FORD,60,True,2011-01-02 03:12:00
1214 S STATE,1214,SOUTH,STATE,-87.6277391,41.8669108,1214 SOUTH STATE STREET,S,1214 S STATE,,,,,,,15269,1/2/2011 3:23:00 AM,L441789,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,NISS,60,True,2011-01-02 03:23:00
1450 S STATE,1450,SOUTH,STATE,-87.6276254,41.8625756,1450 SOUTH STATE STREET,S,1450 S STATE,,,,,,,15270,1/2/2011 3:38:00 AM,6519240,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,TOYT,60,True,2011-01-02 03:38:00
1450 S STATE,1450,SOUTH,STATE,-87.6276254,41.8625756,1450 SOUTH STATE STREET,S,1450 S STATE,,,,,,,2174668,12/18/2011 3:55:00 AM,H494584,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,HOND,60,True,2011-12-18 03:55:00
1409 S STATE,1409,SOUTH,STATE,-87.6269067,41.8636762,1409 SOUTH STATE STREET,S,1409 S STATE,,,,,,,15271,1/2/2011 4:28:00 AM,9432411,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,DODG,60,True,2011-01-02 04:28:00
1253 S STATE,1253,SOUTH,STATE,-87.6269586,41.8659746,1253 SOUTH STATE STREET,S,1253 S STATE,,,,,,,15272,1/2/2011 4:36:00 AM,Y632376,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,MITS,60,True,2011-01-02 04:36:00
148 W DIVISION,,,,,,,,,0.775,dstk,41.903948,-87.633155,148 W DIVISION,148 W Division St,41289,1/7/2011 3:00:00 AM,A407581,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,18,FORD,60,True,2011-01-07 03:00:00
1415 S STATE,1415,SOUTH,STATE,-87.6269082,41.8635432,1415 SOUTH STATE STREET,S,1415 S STATE,,,,,,,41325,1/2/2011 4:11:00 AM,2985680,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,CHEV,60,True,2011-01-02 04:11:00
