Violation Location,ADDRNO,STNAMEPRD,STNAME,LONGITUDE,LATITUDE,ADDRDELIV,pre_abbrev,lookup_address,confidence,geocoder,latitude,longitude,original_address,street_address,Unnamed: 0,Issue Date,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,two_inch,date,latitude_final,longitude_final
6921 S HALSTED,6921,SOUTH,HALSTED,-87.6442681,41.7681651,6921 SOUTH HALSTED STREET,S,6921 S HALSTED,,,,,,,147,1/2/2001 3:39,D954878,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,7,HOND,25,TRUE,1/2/2001 3:39,41.7681651,-87.6442681
6919 S HALSTED,,,,,,,,,0.772,dstk,41.768504,-87.644425,6919 S HALSTED,6919 S Halsted St,148,1/2/2001 3:40,2560MM,IL,MSM,964070,SNOW ROUTE: 2' OF SNOW OR MORE,7,GMC,25,TRUE,1/2/2001 3:40,41.768504,-87.644425
6720 S HALSTED,,,,,,,,,0.772,dstk,41.772099,-87.644662,6720 S HALSTED,6720 S Halsted St,150,1/2/2001 3:50,T456150,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,7,BUIC,25,TRUE,1/2/2001 3:50,41.772099,-87.644662
6051 S HALSTED,,,,,,,,,0.772,dstk,41.783933,-87.644814,6051 S HALSTED,6051 S Halsted St,6570,1/2/2001 3:55,PLC297,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,7,FORD,25,TRUE,1/2/2001 3:55,41.783933,-87.644814
735 W 59TH,,,,,,,,,0.74,dstk,41.786968,-87.643812,735 W 59TH,735 W 59th St,6574,1/2/2001 4:15,T186399,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,7,MAZD,25,TRUE,1/2/2001 4:15,41.786968,-87.643812
723 W 59TH,,,,,,,,,0.74,dstk,41.786973,-87.643313,723 W 59TH,723 W 59th St,6575,1/2/2001 4:15,J766477,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,2,CHRY,25,TRUE,1/2/2001 4:15,41.786973,-87.643313
715 W 59TH,715,WEST,59TH,-87.6432441,41.7868465,715 WEST 59TH STREET,W,715 W 59TH,,,,,,,6576,1/2/2001 7:20,T213054,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,2,FORD,25,TRUE,1/2/2001 7:20,41.7868465,-87.6432441
113 W 59TH,,,,,,,,,0.74,dstk,41.787237,-87.628332,113 W 59TH,113 W 59th St,6577,1/2/2001 4:20,VXP418,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,7,BUIC,25,TRUE,1/2/2001 4:20,41.787237,-87.628332
541 W 59TH,,,,,,,,,0.74,dstk,41.78705,-87.639025,541 W 59TH,541 W 59th St,6578,1/2/2001 4:30,RSB322,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,2,CHEV,25,TRUE,1/2/2001 4:30,41.78705,-87.639025
  5833 MADISON,,,,,,,,,0.75,Bing,41.88009672,-87.77089119,  5833 MADISON,"5833 W Madison St, Chicago, IL 60644, United States",7902,2/14/2001 3:22,,,,964070,SNOW ROUTE: 2' OF SNOW OR MORE,15,DODG,25,TRUE,2/14/2001 3:22,41.8800967187,-87.7708911896
5650 W MADISON,,,,,,,,,0.772,dstk,41.880292,-87.766631,5650 W MADISON,5650 W Madison St,7903,2/14/2001 3:28,T141371,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,15,CHEV,25,TRUE,2/14/2001 3:28,41.880292,-87.766631
5650 W MADISON,,,,,,,,,0.772,dstk,41.880292,-87.766631,5650 W MADISON,5650 W Madison St,2747215,2/18/2001 5:41,F252631,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,15,CHRY,25,TRUE,2/18/2001 5:41,41.880292,-87.766631
  5600 MADISON,,,,,,,,,0.75,Bing,41.88059616,-87.76528931,  5600 MADISON,"5600 W Madison St, Chicago, IL 60644, United States",7904,2/15/2001 3:47,UST49U,FL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,15,OTHR,25,TRUE,2/15/2001 3:47,41.8805961609,-87.7652893066
2110 W 111TH ST,,,,,,,,,0.873,dstk,41.691961,-87.674223,2110 W 111TH ST,2110 W 111th St,11002,1/2/2001 12:30,T198093,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,BUIC,25,TRUE,1/2/2001 12:30,41.691961,-87.674223
2112 W 111TH ST,,,,,,,,,0.873,dstk,41.691961,-87.674262,2112 W 111TH ST,2112 W 111th St,11003,1/2/2001 12:37,ZPS76,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,BUIC,25,TRUE,1/2/2001 12:37,41.691961,-87.674262
