Violation Location,ADDRNO,STNAMEPRD,STNAME,LONGITUDE,LATITUDE,ADDRDELIV,pre_abbrev,lookup_address,confidence,geocoder,latitude,longitude,original_address,street_address,Unnamed: 0,Issue Date,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,two_inch,date,latitude_real,longitude_real
3537 E 106TH ST,,,,,,,,,0.873,dstk,41.702667,-87.537567,3537 E 106TH ST,3537 E 106th St,98555,1/19/2007 3:45,6353666,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,HOND,30,TRUE,1/19/2007 3:45,41.702667,-87.537567
9725 S WESTERN,9725,SOUTH,WESTERN,-87.6816251,41.7165279,9725 SOUTH WESTERN AVENUE,S,9725 S WESTERN,,,,,,,119488,1/22/2007 2:40,8577761,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,CHEV,30,TRUE,1/22/2007 2:40,41.7165279,-87.6816251
2033 W FOSTER,,,,,,,,,0.75,Bing,41.975981,-87.68029824,2033 W FOSTER,"2033 W Foster Ave, Chicago, IL 60625, United States",135339,1/25/2007 3:00,330H920,IL,TMP,964070,SNOW ROUTE: 2' OF SNOW OR MORE,20,HOND,30,TRUE,1/25/2007 3:00,41.9759809971,-87.680298239
4347 N MILWAUKEE,4347,NORTH,MILWAUKEE,-87.7536822,41.9601731,4347 NORTH MILWAUKEE AVENUE,N,4347 N MILWAUKEE,,,,,,,138073,1/20/2007 3:15,6541742,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,16,CADI,30,TRUE,1/20/2007 3:15,41.9601731,-87.7536822
4341 N -,,,,,,,,,1,OpenCage,51.1163375,-0.5411582,4341 N -,"Chicago, Dunsfold CP, Waverley, Surrey, England, United Kingdom",138074,1/20/2007 3:18,8587778,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,16,CHRY,30,TRUE,1/20/2007 3:18,51.1163375,-0.5411582
2328 S KEDZIE,2328,SOUTH,KEDZIE,-87.7054483,41.8490621,2328 SOUTH KEDZIE AVENUE,S,2328 S KEDZIE,,,,,,,163574,1/30/2007 1:41,7309919,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,PONT,30,TRUE,1/30/2007 1:41,41.8490621,-87.7054483
9217 S WESTERN,,,,,,,,,0.755,dstk,41.725714,-87.682143,9217 S WESTERN,9217 S Western Ave,198804,2/7/2007 19:10,8586974,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,OLDS,30,TRUE,2/7/2007 19:10,41.725714,-87.682143
9205 S WESTERN,9205,SOUTH,WESTERN,-87.6817494,41.7259549,9205 SOUTH WESTERN AVENUE,S,9205 S WESTERN,,,,,,,198805,2/6/2007 19:16,DL1629,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,KIA,30,TRUE,2/6/2007 19:16,41.7259549,-87.6817494
9205 S WESTERN,9205,SOUTH,WESTERN,-87.6817494,41.7259549,9205 SOUTH WESTERN AVENUE,S,9205 S WESTERN,,,,,,,271949,2/14/2007 0:05,46Q4884,IN,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,KIA,30,TRUE,2/14/2007 0:05,41.7259549,-87.6817494
9205 S WESTERN,9205,SOUTH,WESTERN,-87.6817494,41.7259549,9205 SOUTH WESTERN AVENUE,S,9205 S WESTERN,,,,,,,271950,2/13/2007 0:10,6945982,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,KIA,30,TRUE,2/13/2007 0:10,41.7259549,-87.6817494
